id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate,rating
31702,Перфекционизм и чёрный юмор — что объединяет фильмы Стэнли Кубрика,Неизвестно,Стэнли Кубрик по праву считается одним из самых значимых режиссёров мирового кинематографа. Он получил признание ещё при жизни, и до сих пор его фильмы пользуются огромной популярностью. «Сияние», «Заводной апельсин», «Цельнометаллическая оболочка» — каждая из его 13 картин самобытна и не похожа на другие. Однако даже у такого многогранного автора есть чёткая методология, которая прослеживается в каждой работе. Мы решили вспомнить, что объединяет картины гениального режиссёра. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/absolyutnyij-perfektsionizm-i/,3,0,2024-09-10,0.9525741268224334
51320,Linkin Park: легендарная группа в цифрах,Неизвестно,На прошлой неделе группа Linkin Park объявила о возвращении на сцену, гастрольном туре и грядущем выпуске очередного альбома. Состав команды пополнился новыми участниками — и теперь готов к покорению новых высот!,https://kudago.com/all/news/linkin-park-v-tsifrah/,2,0,2024-09-10,0.8807970779778823
51317,Мир искусства: 3 канала в VK Видео для вдохновения и творчества,Неизвестно,Узнайте больше о мире искусства и расширяйте свои горизонты! KudaGo и VK Видео выбрали для вас видеоблоги, где искусство становится доступным каждому. Здесь можно познакомиться с выдающимися произведениями, узнать много нового от экспертов в сфере культуры и получить заряд вдохновения для собственного творчества.,https://kudago.com/all/news/mir-iskusstva-3-kanala-v-vk/,1,0,2024-09-11,0.7310585786300049
46751,Эногастрономический фестиваль «Черноморская винная неделя»,Неизвестно,«Черноморская винная неделя» в Краснодарском крае вновь станет центром притяжения туристов со всей страны. Гостей ждёт обширная программа на любой вкус: экскурсии, музыка, творчество, спорт, ярмарка и другие события.,https://kudago.com/all/news/enogastronomicheskij-festival/,1,0,2024-09-03,0.7310585786300049
50892,Go по работам: соосновательницы бренда DEDÈ про гениальные идеи в 4 утра, неуловимую ткань и дьявола в деталях,Неизвестно,Герои Go по работам — уникальные женщины по нескольким причинам. Во-первых, они являются соосновательницами бренда одежда для деловых женщин DEDÈ. Во-вторых, они успешно совмещают ведение бизнеса с ролью многодетных мам, а бренд называют своим четвёртым ребёнком. Мы поговорили с Мариной Фоменко и Анной Рябенко о том, как им удаётся создавать одежду на века, приучать женщин к комфортному стилю и сочетать элегантность с самоподачей.,https://kudago.com/all/news/go-po-rabotam-soosnovatelnitsyi-dede/,1,0,2024-09-02,0.7310585786300049
51382,Стали известны лауреаты Шнобелевской премии,Неизвестно,Её вручают в 34-й раз.,https://kudago.com/all/news/stali-izvestnyi-laureatyi/,0,0,2024-09-13,0.5
51380,Опубликован тизер шоу про юного Декстера,Неизвестно,Премьера — зимой.,https://kudago.com/all/news/opublikovan-tizer-shou-pro-yunogo/,0,0,2024-09-13,0.5
51383,Худеющий кот Крошик хотел сбежать из реабилитационного центра,Неизвестно,Но застрял.,https://kudago.com/all/news/hudeyuschij-kot-kroshik-hotel/,0,0,2024-09-13,0.5
51379,Август 2024 года стал самым жарким в истории наблюдений,Неизвестно,Синоптики предсказывают новые температурные рекорды.,https://kudago.com/all/news/avgust-2024-goda-stal-samyim/,0,0,2024-09-13,0.5
51372,В Новгороде нашли берестяную грамоту с пожеланием удавиться,Неизвестно,Сообщению около 900 лет.,https://kudago.com/all/news/v-novgorode-nashli-berestyanuyu/,0,0,2024-09-12,0.5
51367,Майкл Б. Джордан снимет свою версию «Аферы Томаса Крауна»,Неизвестно,И исполнит в ней главную роль.,https://kudago.com/all/news/majkl-b-dzhordan-snimet-svoyu/,0,0,2024-09-12,0.5
51362,Сладкий вкус справедливости: рецензия на фильм «Револьвер»,Неизвестно,Кинопрокатная компания «Про:Взгляд» регулярно приносит на российские экраны жемчужины кинематографа со всего мира. В этот раз прокатчик удивляет отборным южнокорейским кино с мрачной атмосферой и медитативным развитием сюжета. Кроме того, в главных ролях наверняка знакомые российскому зрителю лица — лауреатка Каннского кинофестиваля Чон До Ён, Чи Чхан Ук из «Большего зла» и Ли Джон Джэ из «Игры в кальмара». Какой получилась криминальная драма, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/retsenziya-na-film-revolver/,0,0,2024-09-12,0.5
51358,В России могут организовать посадку на поезд по биометрии,Неизвестно,Не придётся показывать документы или билет.,https://kudago.com/all/news/v-rossii-mogut-organizovat/,0,0,2024-09-12,0.5
51354,Вышла аудиоверсия книги «Канашибари. Пока не погаснет последний фонарь. Том II»,Неизвестно,Герои снова проверяют себя на прочность в мрачных испытаниях.,https://kudago.com/all/news/vyishla-audioversiya-knigi/,0,0,2024-09-12,0.5
51351,Вышел трейлер байопика о Дональде Трампе,Неизвестно,В ленте расскажут о молодости будущего президента США.,https://kudago.com/all/news/trejler-bajopika-o-donalde-trampe/,0,0,2024-09-11,0.5
